,Week,Campaign,Keyword type,Search Keyword,Clicks,Impressions,Cost ($),Leads,Prospects,Payment ($),Payment Date
0,25-Jan-21,EK_Generic_Swimming,Exact,pool reservation system,2,17,38.33,0,1,$980,3-Feb-21
1,25-Jan-21,EK_Generic_Swimming,Exact,pool booking app,1,13,11.7,0,0,,
2,25-Jan-21,EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,4,154,45.13,0,1,"$1,188",13-Mar-21
3,25-Jan-21,EK_Generic_Swimming,Phrase,pool scheduling software,2,8,23.91,0,0,,
4,25-Jan-21,EK_Generic_Swimming_UK,Broad,pool reservation software,2,13,4.89,0,0,,
5,25-Jan-21,EK_Generic_Swimming_Canada,Broad,pool reservation software,1,2,4.93,0,0,,
6,25-Jan-21,EK_Generic_Swimming,Exact,pool reservation software,1,3,13.44,1,0,,
7,25-Jan-21,EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,1,9,6.08,0,0,,
8,25-Jan-21,EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,1,3,6.38,0,0,,
9,25-Jan-21,EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,0,14,0.0,0,0,,
10,25-Jan-21,EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,0,5,0.0,0,0,,
11,25-Jan-21,EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,0,4,0.0,0,0,,
12,25-Jan-21,EK_Generic_Swimming,Exact,swimming pool reservation system,0,2,0.0,0,0,,
13,25-Jan-21,EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,10,0.0,0,0,,
14,25-Jan-21,EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,0,6,0.0,0,0,,
15,25-Jan-21,EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,0,26,0.0,0,0,,
16,25-Jan-21,EK_Generic_Swimming,Exact,swimming pool booking system,0,2,0.0,0,0,,
17,25-Jan-21,EK_Generic_Swimming_UK,Exact,swimming pool booking system,0,1,0.0,0,0,,
18,25-Jan-21,EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,0,0.0,0,0,,
19,25-Jan-21,EK_Generic_Swimming_Canada,Exact,swimming pool booking system,0,1,0.0,0,0,,
20,25-Jan-21,EK_Generic_Tri-Tok_Reservation_UAE,Phrase,reservation management system,0,1,0.0,0,0,,
21,25-Jan-21,EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,2,0.0,0,0,,
22,25-Jan-21,EK_Generic_Tri-Tok_Reservation_Singapore,Exact,reservation management system,0,1,0.0,0,0,,
23,25-Jan-21,EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,reservation management system,0,1,0.0,0,0,,
24,25-Jan-21,EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,0,0.0,0,0,,
25,25-Jan-21,EK_Generic_Swimming,Broad,pool reservation software,0,12,0.0,0,0,,
26,25-Jan-21,EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,0,9,0.0,0,0,,
27,1-Feb-21,EK_Generic_Tri-Tok_Reservation_Canada,Phrase,reservation management system,2,3,17.43,0,1,,
28,1-Feb-21,EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,2,28,32.1,0,0,,
29,1-Feb-21,EK_Generic_Swimming,Phrase,pool scheduling software,2,5,13.63,0,0,,
30,1-Feb-21,EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,2,11,22.14,0,0,,
31,1-Feb-21,EK_Generic_Swimming,Exact,pool reservation system,2,12,12.27,0,0,,
32,1-Feb-21,EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,2,39,28.47,0,0,,
33,1-Feb-21,EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,2,25,22.61,0,0,,
34,1-Feb-21,EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,1,161,12.49,0,0,,
35,1-Feb-21,EK_Generic_Swimming,Broad,pool reservation software,1,10,3.73,0,0,,
36,1-Feb-21,EK_Generic_Swimming_UK,Broad,pool reservation software,1,16,6.37,0,0,,
37,1-Feb-21,EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,1,8,15.11,0,0,,
38,1-Feb-21,EK_Generic_Swimming,Exact,pool booking app,1,12,6.23,0,0,,
39,1-Feb-21,EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,1,0.0,0,0,,
40,1-Feb-21,EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,booking management software,0,1,0.0,0,0,,
41,1-Feb-21,EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,0,0.0,0,0,,
42,1-Feb-21,EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,0,3,0.0,0,0,,
43,1-Feb-21,EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,0,19,0.0,0,0,,
