Categories,Average_Position,Clicks,Money_Spent,Channel,Location,Prospects,Paid,Total,Day,Month,Year
Coaching,13.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,20,Oct,2020
Dance Studio,20.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,20,Oct,2020
Personal Trainer,6.0,1.0,2.0,Capterra,Singapore,0.0,0,-2.0,20,Oct,2020
Scheduling,59.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,20,Oct,2020
Class Registration,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,21,Oct,2020
Class Registration,16.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,21,Oct,2020
Fitness,18.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,21,Oct,2020
Personal Trainer,24.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,21,Oct,2020
Scheduling,47.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,21,Oct,2020
Swim School,8.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,21,Oct,2020
Yoga Studio,17.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,21,Oct,2020
Yoga Studio,29.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,21,Oct,2020
Coaching,13.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,22,Oct,2020
Scheduling,36.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,22,Oct,2020
Camp Management,1.0,1.0,2.0,Software Advice,Canada,0.0,0,-2.0,23,Oct,2020
Class Registration,5.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,23,Oct,2020
Coaching,9.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,23,Oct,2020
Music School,8.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,23,Oct,2020
Personal Trainer,19.0,1.0,2.0,Software Advice,UK,0.0,0,-2.0,23,Oct,2020
Personal Trainer,17.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,23,Oct,2020
Scheduling,13.0,2.0,4.0,GetApp,Singapore,0.0,0,-4.0,23,Oct,2020
Camp Management,1.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,24,Oct,2020
Camp Management,10.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,24,Oct,2020
Coaching,13.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,24,Oct,2020
Coaching,1.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,24,Oct,2020
Personal Trainer,26.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,24,Oct,2020
Reservations,16.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,24,Oct,2020
Reservations,27.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,24,Oct,2020
Scheduling,14.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,24,Oct,2020
Camp Management,10.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,25,Oct,2020
Club Management,9.0,1.0,2.0,Capterra,Singapore,0.0,0,-2.0,25,Oct,2020
Coaching,1.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,25,Oct,2020
Fitness,16.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,25,Oct,2020
Gymnastics,15.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,25,Oct,2020
Personal Trainer,23.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,25,Oct,2020
Reservations,13.0,3.0,6.0,GetApp,Australia,0.0,0,-6.0,25,Oct,2020
Reservations,18.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,25,Oct,2020
Scheduling,31.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,25,Oct,2020
Venue Management,7.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,25,Oct,2020
Camp Management,11.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,26,Oct,2020
Class Registration,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,26,Oct,2020
Fitness,29.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,26,Oct,2020
Membership Management,26.0,2.0,4.0,GetApp,Australia,0.0,0,-4.0,26,Oct,2020
Personal Trainer,15.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,26,Oct,2020
Reservations,28.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,26,Oct,2020
Venue Management,13.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,26,Oct,2020
Class Registration,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,27,Oct,2020
Dance Studio,22.0,1.0,2.0,Capterra,Canada,0.0,0,-2.0,27,Oct,2020
Membership Management,7.0,1.0,9.25,Capterra,Canada,0.0,0,-9.25,27,Oct,2020
Membership Management,21.0,2.0,17.0,Capterra,USA,0.0,0,-17.0,27,Oct,2020
Membership Management,52.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,27,Oct,2020
Parks and Recreation,7.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,27,Oct,2020
Personal Trainer,14.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,27,Oct,2020
Personal Trainer,22.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,27,Oct,2020
Reservations,25.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,27,Oct,2020
Reservations,16.0,2.0,4.0,GetApp,UK,0.0,0,-4.0,27,Oct,2020
Scheduling,39.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,27,Oct,2020
Scheduling,48.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,27,Oct,2020
Scheduling,14.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,27,Oct,2020
Spa,25.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,27,Oct,2020
Venue Management,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,27,Oct,2020
Camp Management,1.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,28,Oct,2020
Camp Management,10.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,28,Oct,2020
Camp Management,13.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,28,Oct,2020
Class Registration,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,28,Oct,2020
Class Registration,6.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,28,Oct,2020
Gymnastics,15.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,28,Oct,2020
Parks and Recreation,10.0,1.0,2.25,Capterra,USA,0.0,0,-2.25,28,Oct,2020
Personal Trainer,20.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,28,Oct,2020
Reservations,12.0,2.0,4.0,GetApp,Australia,0.0,0,-4.0,28,Oct,2020
Reservations,26.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,28,Oct,2020
Reservations,9.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,28,Oct,2020
Scheduling,13.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,28,Oct,2020
Scheduling,28.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,28,Oct,2020
Scheduling,33.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,28,Oct,2020
Venue Management,10.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,28,Oct,2020
Yoga Studio,25.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,28,Oct,2020
Camp Management,13.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,29,Oct,2020
Camp Management,10.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,29,Oct,2020
Coaching,10.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Fitness,16.0,1.0,2.0,Capterra,UK,0.0,0,-2.0,29,Oct,2020
Fitness,26.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Membership Management,6.67,3.0,28.5,Capterra,Australia,0.0,0,-28.5,29,Oct,2020
Membership Management,47.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Parks and Recreation,6.0,1.0,9.75,Capterra,USA,0.0,0,-9.75,29,Oct,2020
Parks and Recreation,10.0,2.0,4.0,GetApp,USA,0.0,0,-4.0,29,Oct,2020
Personal Trainer,18.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,29,Oct,2020
Reservations,12.0,1.0,2.0,GetApp,Australia,0.0,0,-2.0,29,Oct,2020
Scheduling,43.0,1.0,2.0,GetApp,USA,0.0,0,-2.0,29,Oct,2020
Scheduling,13.0,1.0,2.0,GetApp,Singapore,0.0,0,-2.0,29,Oct,2020
Spa,10.0,1.0,2.0,GetApp,UK,0.0,0,-2.0,29,Oct,2020
Venue Management,8.0,1.0,2.0,GetApp,Canada,0.0,0,-2.0,29,Oct,2020
Venue Management,5.0,2.0,4.0,Capterra,UK,0.0,0,-4.0,29,Oct,2020
Venue Management,11.0,1.0,2.0,Capterra,USA,0.0,0,-2.0,29,Oct,2020
Camp Management,1.0,1.0,2.0,Software Advice,USA,0.0,0,-2.0,30,Oct,2020
Class Registration,6.0,1.0,2.0,Capterra,Australia,0.0,0,-2.0,30,Oct,2020
Class Registration,7.0,2.0,4.0,Software Advice,Canada,0.0,0,-4.0,30,Oct,2020
