Campaign,Keyword_Type,Search_Keyword,Clicks,Impressions,Cost,Prospects,Month,Year,Week,Payment,Total
EK_Generic_Swimming,Exact,pool reservation system,2,17,38.33,1,Jan,2021,25-Jan,980,941.67
EK_Generic_Swimming,Exact,pool booking app,1,13,11.7,0,Jan,2021,25-Jan,0,-11.7
EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,4,154,45.13,1,Jan,2021,25-Jan,1188,1142.87
EK_Generic_Swimming,Phrase,pool scheduling software,2,8,23.91,0,Jan,2021,25-Jan,0,-23.91
EK_Generic_Swimming_UK,Broad,pool reservation software,2,13,4.89,0,Jan,2021,25-Jan,0,-4.89
EK_Generic_Swimming_Canada,Broad,pool reservation software,1,2,4.93,0,Jan,2021,25-Jan,0,-4.93
EK_Generic_Swimming,Exact,pool reservation software,1,3,13.44,0,Jan,2021,25-Jan,0,-13.44
EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,1,9,6.08,0,Jan,2021,25-Jan,0,-6.08
EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,1,3,6.38,0,Jan,2021,25-Jan,0,-6.38
EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,0,14,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,0,5,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,0,4,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Swimming,Exact,swimming pool reservation system,0,2,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,10,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,0,6,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,0,26,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Swimming,Exact,swimming pool booking system,0,2,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Swimming_UK,Exact,swimming pool booking system,0,1,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,0,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Swimming_Canada,Exact,swimming pool booking system,0,1,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,reservation management system,0,1,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,2,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Exact,reservation management system,0,1,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,reservation management system,0,1,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,0,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Swimming,Broad,pool reservation software,0,12,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,0,9,0.0,0,Jan,2021,25-Jan,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,reservation management system,2,3,17.43,1,Feb,2021,1-Feb,0,-17.43
EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,2,28,32.1,0,Feb,2021,1-Feb,0,-32.1
EK_Generic_Swimming,Phrase,pool scheduling software,2,5,13.63,0,Feb,2021,1-Feb,0,-13.63
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,2,11,22.14,0,Feb,2021,1-Feb,0,-22.14
EK_Generic_Swimming,Exact,pool reservation system,2,12,12.27,0,Feb,2021,1-Feb,0,-12.27
EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,2,39,28.47,0,Feb,2021,1-Feb,0,-28.47
EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,2,25,22.61,0,Feb,2021,1-Feb,0,-22.61
EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,1,161,12.49,0,Feb,2021,1-Feb,0,-12.49
EK_Generic_Swimming,Broad,pool reservation software,1,10,3.73,0,Feb,2021,1-Feb,0,-3.73
EK_Generic_Swimming_UK,Broad,pool reservation software,1,16,6.37,0,Feb,2021,1-Feb,0,-6.37
EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,1,8,15.11,0,Feb,2021,1-Feb,0,-15.11
EK_Generic_Swimming,Exact,pool booking app,1,12,6.23,0,Feb,2021,1-Feb,0,-6.23
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,1,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,booking management software,0,1,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,0,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,0,3,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,0,19,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Swimming_Canada,Exact,pool reservation system,0,1,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Swimming_Canada,Broad,pool reservation software,0,4,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Swimming,Exact,pool reservation software,0,3,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Swimming,Exact,swimming pool booking system,0,1,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,0,2,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,5,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Swimming,Exact,swimming pool reservation system,0,1,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Exact,reservation management system,0,0,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,reservation management system,0,1,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Swimming_UK,Phrase,pool scheduling software,0,0,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Phrase,reservation management system,0,1,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,0,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,reservation management system,0,0,0.0,0,Feb,2021,1-Feb,0,0.0
EK_Generic_Swimming_UK,Broad,pool reservation software,4,27,12.05,1,Feb,2021,8-Feb,980,967.95
EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,3,144,29.87,0,Feb,2021,8-Feb,0,-29.87
EK_Generic_Swimming,Exact,pool reservation system,3,15,42.5,0,Feb,2021,8-Feb,0,-42.5
EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,2,26,32.15,0,Feb,2021,8-Feb,0,-32.15
EK_Generic_Swimming,Phrase,pool scheduling software,2,6,40.21,0,Feb,2021,8-Feb,0,-40.21
EK_Generic_Swimming_UK,Exact,swimming pool booking system,1,5,1.52,0,Feb,2021,8-Feb,0,-1.52
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,booking management software,1,3,11.33,0,Feb,2021,8-Feb,0,-11.33
EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,1,15,11.47,0,Feb,2021,8-Feb,0,-11.47
EK_Generic_Swimming,Broad,pool reservation software,1,19,4.56,0,Feb,2021,8-Feb,0,-4.56
EK_Generic_Swimming,Exact,pool booking app,1,15,5.03,0,Feb,2021,8-Feb,0,-5.03
EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,1,35,14.46,0,Feb,2021,8-Feb,0,-14.46
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,1,20,10.98,0,Feb,2021,8-Feb,0,-10.98
EK_Generic_Tri-Tok_Reservation_UK,Phrase,reservation management system,0,1,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,2,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,0,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,reservation management system,0,1,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,0,7,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,2,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,0,1,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,0,2,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Swimming,Exact,swimming pool reservation system,0,1,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,5,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,0,11,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Swimming_Canada,Broad,pool reservation software,0,1,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Swimming,Exact,pool reservation software,0,0,0.0,0,Feb,2021,8-Feb,0,0.0
EK_Generic_Swimming,Exact,pool reservation system,4,13,44.41,1,Feb,2021,15-Feb,0,-44.41
EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,3,31,15.97,1,Feb,2021,15-Feb,1788,1772.03
EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,10,357,92.09,0,Feb,2021,15-Feb,0,-92.09
EK_Generic_Swimming_UK,Broad,pool reservation software,8,45,25.33,0,Feb,2021,15-Feb,0,-25.33
EK_Generic_Swimming,Broad,pool reservation software,4,30,16.0,0,Feb,2021,15-Feb,0,-16.0
EK_Generic_Swimming,Exact,pool booking app,3,22,11.59,0,Feb,2021,15-Feb,0,-11.59
EK_Generic_Swimming,Phrase,pool scheduling software,1,8,17.34,0,Feb,2021,15-Feb,0,-17.34
EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,1,40,10.35,0,Feb,2021,15-Feb,0,-10.35
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,reservation management system,1,4,2.22,0,Feb,2021,15-Feb,0,-2.22
EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,3,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,0,7,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,0,24,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,6,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Phrase,reservation management system,0,1,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,reservation management system,0,0,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Quad-Tok_Pilates,Exact,pilates studio management software,0,1,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Swimming,Exact,pool reservation software,0,0,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Swimming_Canada,Broad,pool reservation software,0,2,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio scheduling software,0,0,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,0,28,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Swimming,Exact,swimming pool booking system,0,1,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,0,8,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Swimming,Exact,swimming pool reservation system,0,1,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,0,2,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,9,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,1,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Swimming_UK,Exact,swimming pool booking system,0,1,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,booking management software,0,2,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Exact,reservation management system,0,10,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Swimming_UK,Phrase,pool scheduling software,0,0,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,0,12,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,reservation management system,0,1,0.0,0,Feb,2021,15-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,8,307,63.94,1,Feb,2021,22-Feb,0,-63.94
EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,3,21,39.76,0,Feb,2021,22-Feb,0,-39.76
EK_Generic_Swimming,Exact,pool reservation system,2,8,17.04,0,Feb,2021,22-Feb,0,-17.04
EK_Generic_Swimming,Broad,pool reservation software,2,18,8.69,0,Feb,2021,22-Feb,0,-8.69
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,2,10,15.32,0,Feb,2021,22-Feb,0,-15.32
EK_Generic_Swimming,Exact,pool booking app,1,16,10.85,0,Feb,2021,22-Feb,0,-10.85
EK_Generic_Swimming,Exact,swimming pool reservation system,1,1,4.64,0,Feb,2021,22-Feb,0,-4.64
EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,1,33,13.33,0,Feb,2021,22-Feb,0,-13.33
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,reservation management system,1,3,10.5,0,Feb,2021,22-Feb,0,-10.5
EK_Generic_Swimming_UK,Broad,pool reservation software,1,11,6.83,0,Feb,2021,22-Feb,0,-6.83
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,reservation management system,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Swimming,Exact,swimming pool booking system,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Exact,reservation management system,0,8,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,booking management software,0,2,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Swimming_UK,Exact,swimming pool reservation system,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Quad-Tok_Pilates,Exact,pilates studio management software,0,2,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Swimming,Phrase,pool scheduling software,0,4,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio scheduling software,0,0,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,0,5,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,0,12,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Swimming_UK,Phrase,pool scheduling software,0,0,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Swimming_Canada,Exact,pool reservation system,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,reservation management system,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Phrase,reservation management system,0,0,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,0,2,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Swimming,Exact,pool reservation software,0,0,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Swimming_Canada,Broad,pool reservation software,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,2,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,0,0,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,4,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,1,0.0,0,Feb,2021,22-Feb,0,0.0
EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,5,239,42.26,1,Mar,2021,1-Mar,980,937.74
EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,2,14,16.96,0,Mar,2021,1-Mar,0,-16.96
EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,2,22,25.75,0,Mar,2021,1-Mar,0,-25.75
EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,2,20,30.32,0,Mar,2021,1-Mar,0,-30.32
EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,1,2,5.25,0,Mar,2021,1-Mar,0,-5.25
EK_Generic_Swimming,Exact,pool booking app,1,31,9.46,0,Mar,2021,1-Mar,0,-9.46
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,1,9,11.4,0,Mar,2021,1-Mar,0,-11.4
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,reservation management system,0,1,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming,Exact,swimming pool reservation system,0,1,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,0,3,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,reservation management system,0,0,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Phrase,reservation management system,0,0,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Quad-Tok_Pilates,Exact,pilates studio management software,0,0,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Phrase,booking management software,0,3,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_Singapore,Exact,reservation management system,0,3,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming,Exact,pool reservation system,0,1,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,2,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming,Phrase,pool scheduling software,0,4,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,0,4,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,2,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming_UK,Broad,pool reservation software,0,6,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming,Broad,pool reservation software,0,29,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,0,1,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,1,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming_Canada,Broad,pool reservation software,0,2,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming,Exact,pool reservation software,0,0,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,7,0.0,0,Mar,2021,1-Mar,0,0.0
EK_Generic_Swimming,Broad,pool reservation software,10,34,45.5,1,Mar,2021,8-Mar,0,-45.5
EK_Generic_Quad-Tok_Yoga,Broad,yoga studio booking software,7,277,52.09,0,Mar,2021,8-Mar,0,-52.09
EK_Generic_Tri-Tok_Reservation,Phrase,booking management software,4,35,52.37,0,Mar,2021,8-Mar,0,-52.37
EK_Generic_Tri-Tok_Reservation_Canada,Phrase,booking management software,3,20,31.04,0,Mar,2021,8-Mar,0,-31.04
EK_Generic_Swimming_UK,Broad,pool reservation software,2,15,9.43,0,Mar,2021,8-Mar,0,-9.43
EK_Generic_Swimming,Exact,swimming pool reservation system,2,2,13.08,0,Mar,2021,8-Mar,0,-13.08
EK_Generic_Swimming,Exact,pool booking app,1,18,1.74,0,Mar,2021,8-Mar,0,-1.74
EK_Generic_Tri-Tok_Reservation,Exact,reservation management system,1,23,5.36,0,Mar,2021,8-Mar,0,-5.36
EK_Generic_Swimming,Phrase,pool scheduling software,1,3,18.38,0,Mar,2021,8-Mar,0,-18.38
EK_Generic_Tri-Tok_Reservation_UK,Phrase,booking management software,1,25,9.44,0,Mar,2021,8-Mar,0,-9.44
EK_Generic_Tri-Tok_Reservation,Phrase,reservation management system,1,13,8.96,0,Mar,2021,8-Mar,0,-8.96
EK_Generic_Swimming,Exact,pool reservation system,1,4,10.81,0,Mar,2021,8-Mar,0,-10.81
EK_Generic_Tri-Tok_Reservation_Canada,Exact,reservation management system,0,3,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Exact,reservation management system,0,0,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,reservation management system,0,0,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Phrase,reservation management system,0,0,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Quad-Tok_Yoga_Singapore,Broad,yoga studio booking software,0,6,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Quad-Tok_Yoga,Phrase,yoga studio management software,0,2,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UAE,Phrase,booking management software,0,0,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Quad-Tok_Yoga,Exact,yoga studio booking software,0,2,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Swimming_Canada,Broad,pool reservation software,0,3,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Swimming,Exact,pool reservation software,0,0,0.0,0,Mar,2021,8-Mar,0,0.0
EK_Generic_Tri-Tok_Reservation_UK,Exact,reservation management system,0,14,0.0,0,Mar,2021,8-Mar,0,0.0
